# === FCC-B2-b ARTIFACT HEADER BEGIN (v1) ===
# firmware_git_sha: d4dfcb86cfd99bbcbd227844940a1f905336b356
# firmware_git_sha_short: d4dfcb86cfd9
# build_timestamp_utc: 2026-05-20T07:50:16Z
# profile_enum: 0
# profile_string: REG_PROFILE_BENCH_ONLY_FIXED_915
# rfco_summary_schema_ver: 1
# rfco_pertx_schema_ver: 1
# header_schema_ver: 1
# === FCC-B2-b ARTIFACT HEADER END ===

=== W2-02 TX: 192 fragments, uart=/dev/ttymxc3 ===
CFG_OK_URC: LBT_ENABLE=0
__W2_02_TX_READY__ n_fragments=192
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=0 tx_id=0x00 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0000bf01000c0820ffffffffffffffffffffffff5d524946465600000057454250565038204a0000001003009d012a200020003ec14ea04aa7a42321b00800
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=1 tx_id=0x01 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0001bff018096700b0ec2d61400000fee7664e85da39c8d6a5e2bd804a282d4f7dd758b90f43cf7040c2d7668279375ac94b97cb1aa0007952494646720000
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=2 tx_id=0x02 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0002bf005745425056503820660000007004009d012a200020003ea9449a4aa62422a1b7e800c015096500c6f43250a08eca46dfe6f8c816d1f9f40000fed2
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=3 tx_id=0x03 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0003bfd8a2bf327b199a64763e1d59c23c40a987e230c99fe4883c3ac9a701f46b8660827a2e90d0e416093bfdd1aca4a6a4171a2293d4f000007952494646
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=4 tx_id=0x04 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0004bf720000005745425056503820660000007004009d012a200020003ec14ca34ca7a3a32230180800f018096700bb007202db0b9d45cd87207d3c562780
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=5 tx_id=0x05 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0005bf00fef883091eff0267e464094f33e295241b6f7b23df2d9ecf5ed8146432c46fbbe7f0e001eaed86e7619cd423a002dcd6d5738becc57b0000005552
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=6 tx_id=0x06 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0006bf4946464e0000005745425056503820420000001004009d012a200020003ec152a14aa7a4a321b00800f018096700c3ac21bc113f49055e1e75575a00
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=7 tx_id=0x07 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0007bf00fe6effaad065a32335d8a3ae30fbe5039a3aea86b30800008b52494646840000005745425056503820780000009004009d012a200020003ec158a4
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=8 tx_id=0x08 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0008bf4d27a523a2280aa8f018096500c7e47a09be97246c5ccfd61aec7f6d36fa5000fef71a83ff48f832db61f2fb47a4f75235c4fbecacc8312f2ba682f8
INFO: unrelated frame during TX wait type=0xC0
