# === FCC-B2-b ARTIFACT HEADER BEGIN (v1) ===
# firmware_git_sha: d4dfcb86cfd99bbcbd227844940a1f905336b356
# firmware_git_sha_short: d4dfcb86cfd9
# build_timestamp_utc: 2026-05-20T07:50:14Z
# profile_enum: 0
# profile_string: REG_PROFILE_BENCH_ONLY_FIXED_915
# rfco_summary_schema_ver: 1
# rfco_pertx_schema_ver: 1
# header_schema_ver: 1
# === FCC-B2-b ARTIFACT HEADER END ===

=== W2-02 TX: 192 fragments, uart=/dev/ttymxc3 ===
CFG_OK_URC: LBT_ENABLE=0
__W2_02_TX_READY__ n_fragments=192
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=0 tx_id=0x00 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0000bf01000c0820ffffffffffffffffffffffff5f524946465800000057454250565038204c0000001003009d012a200020003ec150a04aa7a4a321b00800
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=1 tx_id=0x01 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0001bff018096700ca002d616d5000fee7664e86445e0e7959698af60128a18e3359183175885d1a139708b128fd587f9cceaaf656059500007d5249464676
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=2 tx_id=0x02 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0002bf00000057454250565038206a0000007004009d012a200020003ea9449a4aa62422a1b7e800c015096300c2803250a08eca46dfe6f8c8178789990000
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=3 tx_id=0x03 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0003bffed2d8a2c005c0606bb500c6cc3563d55c417e2a11ae230c99fcab3bbba1c3f5d925ba9e61d9fde5de73dc469a56d2b1f2867c7f50ea28e7f2ae0000
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=4 tx_id=0x04 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0004bf0071524946466a00000057454250565038205e0000009004009d012a200020003ec150a24ca7a4232230180800f018096700b61472036a33e2cec8c5
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=5 tx_id=0x05 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0005bff7a3da97413a0000fef89e69f684dd853457ce42ef1ca504e4cbd3cb5aa429e053fa7bb51ee3e7db0dcec1668ae1465c582959d3b680000055524946
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=6 tx_id=0x06 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0006bf464e000000574542505650382042000000f003009d012a200020003ec150a14aa7a4a321b00800f018096700c1cc21bee6574fc41e2a89544000fe70
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=7 tx_id=0x07 status=0(OK) toa_us=59008 elapsed_ms=73.5 payload_hex=fe0007bfb7f55a043e0e4a65f3459c0ec62f4e99192114d23000008d524946468600000057454250565038207a0000009004009d012a200020003ec158a24da7
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=8 tx_id=0x08 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0008bfa52322280aa8f018096500c4d87a09be972172c52ca80729265815ba1c00fef6a371a574b92af5798beaed8dd3436600302a124c97af139e64200439
INFO: unrelated frame during TX wait type=0xC0
