# === FCC-B2-b ARTIFACT HEADER BEGIN (v1) ===
# firmware_git_sha: d4dfcb86cfd99bbcbd227844940a1f905336b356
# firmware_git_sha_short: d4dfcb86cfd9
# build_timestamp_utc: 2026-05-20T07:50:15Z
# profile_enum: 0
# profile_string: REG_PROFILE_BENCH_ONLY_FIXED_915
# rfco_summary_schema_ver: 1
# rfco_pertx_schema_ver: 1
# header_schema_ver: 1
# === FCC-B2-b ARTIFACT HEADER END ===

=== W2-02 TX: 191 fragments, uart=/dev/ttymxc3 ===
CFG_OK_URC: LBT_ENABLE=0
__W2_02_TX_READY__ n_fragments=191
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=0 tx_id=0x00 status=0(OK) toa_us=59008 elapsed_ms=73.2 payload_hex=fe0000be01000c0820ffffffffffffffffffffffff5f524946465800000057454250565038204c0000001003009d012a200020003ec150a04aa7a4a321b00800
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=1 tx_id=0x01 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0001bef018096700b7b82d61400000fee8b7bf1793f4943438aef6a3597d509a836e452f2042e8d0c6e71b73c35e76461d6b252e5dfc1a00007d5249464676
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=2 tx_id=0x02 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0002be00000057454250565038206a0000007004009d012a200020003ea9449a4aa62422a1b7e800c015096300c3343250a08efa42b82da502a77538940000
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=3 tx_id=0x03 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0003befede8d9bdc5d67b1ce429c0a16aadfa08be1da9d0a16e90e0ddfcb979cdfa0ebc980f680e508fad510b065d3272d052aa36ea59839752d33d4ee0000
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=4 tx_id=0x04 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0004be0073524946466c0000005745425056503820600000005004009d012a200020003ec14ca04b27a42322b0180c00f018096700bdd07fc46d85cea70e23
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=5 tx_id=0x05 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0005be16d9dc716000fef8d3127aa710c4fa66856878a07c43c5303040749954423cfb70449a3b8460caf564ee51f2affb61429c536c7347dd604000005552
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=6 tx_id=0x06 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0006be4946464e000000574542505650382042000000f003009d012a200020003ec150a14aa7a4a321b00800f018096700c6f421bc113f474e82f6e0034000
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=7 tx_id=0x07 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0007befe6effaad065a16eaadceb43c87dc267d3e5c9a762c1f400008752494646800000005745425056503820740000009004009d012a200020003ec150a2
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=8 tx_id=0x08 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe0008be4b27a4a321a80d50f018096500bfec838ede9a2534857e9d3825bcfed405c000fef80ecc58e472af5798bea13eb3fd477c9a40be3ebcbfda3d73e3a7
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=9 tx_id=0x09 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0009be15897f8f7dffb7f42e85dda7613a400ba1e67e795881647457708156cdf84d578939707165db05e0000091524946468a00000057454250565038207e
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=10 tx_id=0x0A status=0(OK) toa_us=59008 elapsed_ms=73.5 payload_hex=fe000abe0000005005009d012a200020003ec1529f4aa7a522a1b0180c00f018096700ca00346e6c91d482789ec5848b211d1dd854606f364d4800feac27cadb
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=11 tx_id=0x0B status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe000bbec841f9c59141965f8ac5590cc5c9d5fb9ee3f22e2fb7335b3aa8a7884ef6186c52357f0b75392e76a223bc633608e4a7a223d9f161ad33ce22c5e679
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=12 tx_id=0x0C status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe000cbe260a5b8486660000005f524946465800000057454250565038204c000000d003009d012a200020003ec152a34c27a4a32230180800f018096700c7e4
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=13 tx_id=0x0D status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe000dbe0fc1f0b1e17118c80000fef612f2d6d3c72380e08107fdaefc08d452573e98a49bb09ecd35c84ddc5b5f527470008b52494646840000005745425056
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=14 tx_id=0x0E status=0(OK) toa_us=59008 elapsed_ms=73.5 payload_hex=fe000ebe503820780000001005009d012a200020003ec150a04aa7a4a321b0180c00f018094018500f6e14b1957016a3578befecfa7e3fb38750800000fef572
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=15 tx_id=0x0F status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fe000fbea52915228b6491f91dbf5ae12ecbf8ba7c03c4502e9d03c41590f24965b5fc2e2106768b6de786a5dc23ebd7b12c09d3b07f78e2cf9fce80aecbc11a
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=16 tx_id=0x10 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fe0010bed2823602d640006952494646620000005745425056503820560000005004009d012a200020003ec154a34c27a4a32230180800f018096300c7e4346f
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=17 tx_id=0x11 status=0(OK) toa_us=59008 elapsed_ms=73.5 payload_hex=fe0011be6e65f19b51fbe1dab1a95000fe9cbbd1e035692c5b1b0e4b9d288865bda958c5adcd07a47d02a47458d66b0aaf2d97d2ac2ff31e1e00475249464640
INFO: unrelated frame during TX wait type=0xC0
